text,size,group,year1
R 6/24/1990 NINE SOLDIERS KILLED IN RENEWED EASTERN SRI LANKA FIGHTING.,0,1,1990
R 7/14/1990 SRI LANKAN TAMIL TIGERS RESUME ATTACKS ON SIX ARMY CAMPS.,2,1,1990
X 8/11/1990 Government forces save Muslim village.,4,1,1990
"R 10/23/1990 REBELS KILL 10 CIVILIANS, SUFFER REVERSE IN NORTHERN SRI LANKA.",1,1,1990
"""'The War of June 1990', Report No5, ,1990-09-01,9.1     Eastern Province, Southern Sector : The Events of June""",3,7,1990
"""'The War of June 1990', Report No5,,1990-09-01,9.1     Eastern Province, Southern Sector : The Events of June""",23,7,1990
R 12/12/1990 FOUR SRI LANKAN TAMIL REBELS DIE IN REFUGEE CAMP BATTLE.,4,1,1990
"R, 2000-05-24",140,2,1990
R 7/24/1990 MILITARY SAYS TROOPS CAPTURE NORTHERN TOWN FROM TAMIL REBELS.,4,1,1990
R 6/14/1990 TAMIL REBELS ATTACK MORE POLICE AND ARMY POSTS IN SRI LANKA.,6,1,1990
R 7/14/1990 SRI LANKAN TAMIL TIGERS RESUME ATTACKS ON SIX ARMY CAMPS.,1,1,1990
R 7/25/1990 ARMY SAYS TROOPS RECAPTURE NORTHERN TOWN FROM TAMIL REBELS.,55,1,1990
R 6/14/1990 TAMIL REBELS ATTACK MORE POLICE AND ARMY POSTS IN SRI LANKA.,25,1,1990
R 6/15/1990 SRI LANKAN SECURITY FORCES TAKE OFFENSIVE AGAINST TIGERS.    R 6/16/1990 GOVERNMENT TALKS PEACE WITH TAMILS AMID FIGHTING.,23,1,1990
R 10/16/1990 CURFEW IMPOSED FOR NEW STRIKE AGAINST SRI LANKAN REBELS.,7,1,1990
R 6/15/1990 SRI LANKAN SECURITY FORCES TAKE OFFENSIVE AGAINST TIGERS.    R 6/16/1990 GOVERNMENT TALKS PEACE WITH TAMILS AMID FIGHTING.,18,1,1990
"R 7/18/1990 150 TAMIL REBELS, SOLDIERS AND CIVILIANS KILLED IN FIGHTING.",8,1,1990
R 10/15/1990 FOUR SOLDIERS KILLED IN SRI LANKA.,4,1,1990
"R 7/11/1990 SRI LANKAN TROOPS REPEL GUERRILLA ATTACK ON ARMY CAMP.    R 7/13/1990 50 TAMILS, 45 SOLDIERS KILLED AS SEPARATISTS CAPTURE BASE.",25,1,1990
"R 7/11/1990 SRI LANKAN TROOPS REPEL GUERRILLA ATTACK ON ARMY CAMP.    R 7/13/1990 50 TAMILS, 45 SOLDIERS KILLED AS SEPARATISTS CAPTURE BASE.",70,1,1990
R 12/13/1990 SRI LANKAN AIRFORCE KILLS MORE THAN 40 TAMIL REBELS IN EAST.   R 12/14/1990 SRI LANKA SECURITY FORCES KILL 67 REBELS IN ONE DAY.,48,1,1990
X 8/25/1990 113 Tamil rebels killed by Sri Lankan government helicopter gunship.     X 8/27/1990 government troops poised to take northern Jaffna fort.,113,1,1990
X 7/28/1990 Security forces battling Tamil rebels in east.,2,1,1990
R 7/9/1990 78 TAMIL REBELS AND 10 SOLDIERS KILLED AS FIGHTING RAGES.,22,1,1990
"R 7/12/1990 90 TAMIL REBELS, SEVERAL SOLDIERS KILLED IN FIGHTS FOR BASES.",50,1,1990
R 12/18/1990 SRI LANKAN REBELS KILL BRIGADIER WHO ROUTED THEM.    R 12/19/1990 SRI LANKAN TROOPS KILL 25 TAMIL SEPARATIST REBELS.,7,1,1990
R 10/10/1990 SRI LANKAN TROOPS KILL NINE TAMIL SEPARATIST REBELS.,7,1,1990
R 12/23/1990 NINE SRI LANKAN SOLDIERS AND 17 REBELS DIE IN NORTHERN ATTACK.,1,1,1990
"R 7/18/1990 150 TAMIL REBELS, SOLDIERS AND CIVILIANS KILLED IN FIGHTING.",41,1,1990
X 9/7/1990 minister on military operations in north.,100,1,1990
"R 6/17/1990 CEASEFIRE HOLDS BETWEEN SRI LANKAN TROOPS, REBELS.",81,1,1990
"R 11/23/1990 SRI LANKAN TROOPS KILL 75 TAMIL REBELS, MILITARY SAYS.    R 11/25/1990 SRI LANKA REBELS claim BESIEGED CAMP CAPTURED IN HEAVY FIGHTING.",4,1,1990
"R 11/27/1990 SRI LANKAN ARMY SENDS MORE TROOPS TO FIGHT REBELS IN NORTH.     R 11/28/1990 SRI LANKA RAISES 40,000 PARAMILITARY FORCE TO FIGHT REBELS.",114,1,1990
R 7/14/1990 SRI LANKAN TAMIL TIGERS RESUME ATTACKS ON SIX ARMY CAMPS.,2,1,1990
"R 7/18/1990 150 TAMIL REBELS, SOLDIERS AND CIVILIANS KILLED IN FIGHTING.",98,1,1990
R 1/4/1989 CLASHES AMONG TAMIL GROUPS KILL 50 MORE IN SRI LANKA.,50,4,1990
R 10/21/1990 TAMIL GUERRILLAS SAY THEY SHOT DOWN SRI LANKAN HELICOPTER.,23,1,1990
R 11/4/1990 TAMIL REBELS KILL 11 SOLDIERS IN SRI LANKAN ATTACK.   R 11/5/1990 TWELVE WOMEN REBELS KILLED IN SRI LANKAN BATTLE.,26,1,1990
"R 11/22/1990 40 SRI LANKAN REBELS, SOLDIERS KILLED AS 'HEROES WEEK' STARTS.",3,1,1990
"R 10/22/1990 30 TAMIL REBELS, SEVEN SOLDIERS KILLED IN BATTLE FOR HARBOUR.",4,1,1990
R 7/5/1990 SRI LANKAN ARMY BATTLES TAMIL REBELS IN THICK JUNGLE.    R 7/6/1990 TAMIL REBELS WREAK HEAVY TOLL ON SRI LANKAN SECURITY FORCES.,20,1,1990
